College Name,Branch Name,2022,2023,2024,Predicted_2024
A V C College of Engineering Mannampandal Post MayiladuthuraiDistrict 609305,COMPUTER SCIENCE AND ENGINEERING,,156.0,,
A V C College of Engineering Mannampandal Post MayiladuthuraiDistrict 609305,ELECTRONICS AND COMMUNICATION ENGINEERING,,142.0,,
A V C College of Engineering Mannampandal Post MayiladuthuraiDistrict 609305,INFORMATION TECHNOLOGY,,152.0,,
"A V C College of Engineering, Mannampandal Post, MayiladuthuraiDistrict 609305",COMPUTER SCIENCE AND ENGINEERING,169.0,,,
"A V C College of Engineering, Mannampandal Post, MayiladuthuraiDistrict 609305",ELECTRONICS AND COMMUNICATION ENGINEERING,150.0,,,
"A V C College of Engineering, Mannampandal Post, MayiladuthuraiDistrict 609305",INFORMATION TECHNOLOGY,164.0,,,
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",Artificial Intelligence and Data Science,,,142.5,
"A V S College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem-636106.",INFORMATION TECHNOLOGY,,,122.0,
A V S Engineering College Military Road Ammapet Salem District 636003,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,139.0,,
A V S Engineering College Military Road Ammapet Salem District 636003,COMPUTER SCIENCE AND ENGINEERING,,131.5,,
A V S Engineering College Military Road Ammapet Salem District 636003,ELECTRONICS AND COMMUNICATION ENGINEERING,,132.0,,
A V S Engineering College Military Road Ammapet Salem District 636003,INFORMATION TECHNOLOGY,,130.0,,
"A V S Engineering College, Military Road, Ammapet, Salem District 636003",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,132.5,,,
"A V S Engineering College, Military Road, Ammapet, Salem District 636003",COMPUTER SCIENCE AND ENGINEERING,132.5,,,
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305.",Artificial Intelligence and Data Science,,,168.5,
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305.",COMPUTER SCIENCE AND ENGINEERING,,,165.0,
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,147.5,
"A.V.C. College of Engineering, Mannampandal, Mayiladuthurai, Nagapattinam-609305.",INFORMATION TECHNOLOGY,,,163.0,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,148.5,,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,COMPUTER SCIENCE AND ENGINEERING,,155.5,,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,Computer Science and Engineering (Cyber Security),,143.5,,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,ELECTRICAL AND ELECTRONICS ENGINEERING,,137.0,,
AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,ELECTRONICS AND COMMUNICATION ENGINEERING,,159.5,,
