College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,200.0,200.0,199.0,199.3333333,,,197.5,197.5,,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.5,198.0,198.5,,,194.5,189.5,189.0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.0,198.0,198.0,,,194.0,185.0,,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,198.5,197.0,196.5,,,186.0,178.0,185.0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),199.0,198.5,197.5,196.5,,,192.0,187.5,185.0,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,COMPUTER SCIENCE AND ENGINEERING,199.0,198.5,197.5,197.5,,,193.0,184.5,,2022
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",CS,COMPUTER SCIENCE AND ENGINEERING,198.5,198.0,196.5,195.5,,,187.5,173.5,185.0,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,196.0,196.5,,,191.0,,187.5,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,198.0,196.0,195.5,,,185.0,195.0,183.0,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198.0,197.0,197.0,,,191.0,182.295,,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.0,197.5,195.0,196.5,,,190.5,178.0,177.57,2022
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",CS,COMPUTER SCIENCE AND ENGINEERING,198.0,197.0,197.5,195.5,,,186.305,189.5,,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IM,INFORMATION TECHNOLOGY (SS),198.0,197.5,196.0,194.5,,,183.5,179.0,180.755,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,INFORMATION TECHNOLOGY (SS),198.0,197.5,196.0,195.5,,,187.5,181.0,183.5,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CG,Computer Science and Engineering (Artificial Intelligence and Machine Learning) (SS),197.5,197.0,195.5,195.5,,,185.5,176.535,182.0,2022
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",IT,INFORMATION TECHNOLOGY,197.5,197.0,195.5,194.0,,,186.0,171.5,166.0,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),197.5,197.0,196.0,196.0,,,189.0,176.0,,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.5,197.0,194.0,194.0,,,179.0,178.5,,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,197.0,194.5,195.5,,,189.5,181.855,,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.5,197.0,196.0,195.5,,,189.0,180.0,186.5,2022
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.0,196.5,195.5,194.0,,,185.0,174.0,176.0,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CS,COMPUTER SCIENCE AND ENGINEERING,197.0,196.5,195.5,194.0,,,183.5,183.5,184.5,2022
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.0,196.0,194.0,193.0,,,183.5,179.5,,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.5,195.5,191.5,192.5,,,183.5,,172.295,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CM,COMPUTER SCIENCE AND ENGINEERING (SS),196.5,196.5,194.5,193.0,,,182.9,178.5,,2022
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",CS,COMPUTER SCIENCE AND ENGINEERING,196.5,196.0,192.0,193.5,,,177.5,172.5,,2022
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",CM,COMPUTER SCIENCE AND ENGINEERING (SS),196.5,196.0,194.5,191.5,,,177.5,176.0,162.5,2022
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,196.5,195.5,192.0,194.0,,,186.0,180.275,,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,196.5,196.0,194.5,192.5,,,181.03,178.0,,2022
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,196.5,196.0,193.5,192.5,,,182.535,187.5,187.5,2022
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RA,ROBOTICS AND AUTOMATION (SS),196.0,195.0,193.0,193.0,,,185.0,185.0,,2022
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING (SS),196.0,193.0,194.5,192.0,,,186.185,178.405,193.725,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",IM,INFORMATION TECHNOLOGY (SS),196.0,196.0,194.5,192.5,,,181.0,177.0,177.5,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),196.0,195.0,,192.0,,,180.12,171.5,166.5,2022
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),195.5,195.0,192.0,191.715,,,177.5,166.165,,2022
5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),195.5,194.0,190.0,190.5,,,177.79,160.5,,2022
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,195.5,195.0,193.5,191.34,,,175.605,167.0,,2022
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",CS,COMPUTER SCIENCE AND ENGINEERING,195.5,193.5,193.5,191.5,,,175.0,154.5,128.5,2022
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,195.5,194.5,194.5,193.0,,,183.5,166.755,,2022
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,195.5,195.0,192.5,191.5,,,179.5,158.5,174.5,2022
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,195.5,194.0,195.0,193.5,,,185.0,181.79,162.78,2022
